optOption 	 Vectorsize 	 GUPs
N is of size: 7
-O0 	128	0.124492
-O1 	128	0.477219
-O2 	128	0.492865
-O3 	128	0.492865
N is of size: 10
-O0 	1024	0.121843
-O1 	1024	0.454494
-O2 	1024	0.511306
-O3 	1024	0.445074
N is of size: 13
-O0 	8192	0.118797
-O1 	8192	0.491935
-O2 	8192	0.483416
-O3 	8192	0.467235
N is of size: 17
-O0 	131072	0.100020
-O1 	131072	0.351877
-O2 	131072	0.351877
-O3 	131072	0.355301
N is of size: 20
-O0 	1048576	0.092864
-O1 	1048576	0.288737
-O2 	1048576	0.286331
-O3 	1048576	0.286331
N is of size: 23
-O0 	8388608	0.048614
-O1 	8388608	0.119884
-O2 	8388608	0.118946
-O3 	8388608	0.118946
N is of size: 27
-O0 	134217728	0.037823
-O1 	134217728	0.073048
-O2 	134217728	0.073256
-O3 	134217728	0.073325
N is of size: 30
-O0 	optOption 	 Vectorsize 	 GUPs
N is of size: 7
-O0 	128	0.121474
-O1 	128	0.492865
-O2 	128	0.496938
-O3 	128	0.513928
N is of size: 10
-O0 	1024	0.121843
-O1 	1024	0.499415
-O2 	1024	0.511306
-O3 	1024	0.499415
N is of size: 13
-O0 	8192	0.118294
-O1 	8192	0.483416
-O2 	8192	0.494111
-O3 	8192	0.369765
N is of size: 17
-O0 	131072	0.100088
-O1 	131072	0.355301
-O2 	131072	0.348518
-O3 	131072	0.351877
N is of size: 20
-O0 	1048576	0.089994
-O1 	1048576	0.282564
-O2 	1048576	0.286331
-O3 	1048576	0.288253
N is of size: 23
-O0 	8388608	0.048459
-O1 	8388608	0.119233
-O2 	8388608	0.119884
-O3 	8388608	0.119884
N is of size: 27
-O0 	134217728	0.037847
-O1 	134217728	0.073628
-O2 	134217728	0.074241
-O3 	134217728	0.072387
N is of size: 30
-O0 	
