PAPI_L1_DCM	Level_1_data_cache_misses_____Level_1
PAPI_L1_ICM	Level_1_instruction_cache_misses_____Level_1
PAPI_L1_TCM	Level_1_cache_misses______Level_1
PAPI_L1_LDM	Level_1_load_misses______Level_1
PAPI_L1_STM	Level_1_store_misses______Level_1
PAPI_L2_DCM	Level_2_data_cache_misses_____Level_2
PAPI_L2_ICM	Level_2_instruction_cache_misses_____Level_2
PAPI_L2_TCM	Level_2_cache_misses______Level_2
PAPI_L2_LDM	Level_2_load_misses______Level_2
PAPI_L2_STM	Level_2_store_misses______Level_2
PAPI_L2_DCA	Level_2_data_cache_accesses_____Level_2
PAPI_L2_ICH	Level_2_instruction_cache_hits_____Level_2
PAPI_L2_DCR	Level_2_data_cache_reads_____Level_2
PAPI_L2_DCW	Level_2_data_cache_writes_____Level_2
PAPI_L2_ICR	Level_2_instruction_cache_reads_____Level_2
PAPI_L2_ICW	Level_2_instruction_cache_writes_____Level_2
PAPI_L2_TCH	Level_2_total_cache_hits_____Level_2
PAPI_L2_TCA	Level_2_total_cache_accesses_____Level_2
PAPI_L2_TCR	Level_2_total_cache_reads_____Level_2
PAPI_L2_TCW	Level_2_total_cache_writes_____Level_2
PAPI_L3_DCA	Level_3_data_cache_accesses_____Level_3
PAPI_L3_DCR	Level_3_data_cache_reads_____Level_3
PAPI_L3_DCW	Level_3_data_cache_writes_____Level_3
PAPI_L3_ICH	Level_3_instruction_cache_hits_____Level_3
PAPI_L3_ICA	Level_3_instruction_cache_accesses_____Level_3
PAPI_L3_ICR	Level_3_instruction_cache_reads_____Level_3
PAPI_L3_ICW	Level_3_instruction_cache_writes_____Level_3
PAPI_L3_TCH	Level_3_total_cache_hits_____Level_3
PAPI_L3_TCA	Level_3_total_cache_accesses_____Level_3
PAPI_L3_TCR	Level_3_total_cache_reads_____Level_3
PAPI_L3_TCW	Level_3_total_cache_writes_____Level_3
PAPI_L3_DCM	Level_3_data_cache_misses_____Level_3
PAPI_L3_ICM	Level_3_instruction_cache_misses_____Level_3
PAPI_L3_TCM	Level_3_cache_misses______Level_3
PAPI_L3_LDM	Level_3_load_misses______Level_3
PAPI_L3_STM	Level_3_store_misses______Level_3
PAPI_L3_DCH	Level_3_data_cache_hits_____Level_4
PAPI_TLB_DM	Data_translation_lookaside_buffer_misses_____Data_translation
PAPI_TLB_IM	Instruction_translation_lookaside_buffer_misses_____Instruction_translation
PAPI_TLB_SD	Translation_lookaside_buffer_shootdowns______Translation_lookaside
PAPI_MEM_WCY	Cycles_Stalled_Waiting_for_memory_writes____Cycles_Stalled
PAPI_STL_ICY	Cycles_with_no_instruction_issue_____Cycles_with
PAPI_FUL_ICY	Cycles_with_maximum_instruction_issue_____Cycles_with
PAPI_STL_CCY	Cycles_with_no_instructions_completed_____Cycles_with
PAPI_BR_NTK	Conditional_branch_instructions_not_taken_____Conditional_branch
PAPI_BR_MSP	Conditional_branch_instructions_mispredicted______Conditional_branch
PAPI_TOT_INS	Instructions_completed________Instructions_completed
PAPI_BR_INS	Branch_instructions________Branch_instructions
PAPI_TOT_CYC	Total_cycles________Total_cycles
PAPI_LST_INS	Load/store_instructions_completed_______Load/store_instructions
PAPI_REF_CYC	Reference_clock_cycles_______Reference_clock
