Size 	 Eventname 	  sorted 	 ExeTime 	 Desc 	 P1Power 	 dramPower
5000 	 PAPI_L1_DCM 		679	671	Level_1_data_cache_misses_____Level_1	0.223083J	0.029667J
5000 	 PAPI_L1_ICM 		127	607	Level_1_instruction_cache_misses_____Level_1		
5000 	 PAPI_L1_TCM 		927	662	Level_1_cache_misses______Level_1		
5000 	 PAPI_L1_LDM 		339	650	Level_1_load_misses______Level_1		
5000 	 PAPI_L1_STM 		193	621	Level_1_store_misses______Level_1		
5000 	 PAPI_L2_DCM 		114	631	Level_2_data_cache_misses_____Level_2		
5000 	 PAPI_L2_ICM 		54	578	Level_2_instruction_cache_misses_____Level_2		
5000 	 PAPI_L2_TCM 		244	639	Level_2_cache_misses______Level_2		
5000 	 PAPI_L2_LDM 		98	641	Level_2_load_misses______Level_2		
5000 	 PAPI_L2_STM 		2	702	Level_2_store_misses______Level_2		
5000 	 PAPI_L3_TCM 		5	642	Level_3_cache_misses______Level_3		
5000 	 PAPI_L3_LDM 		0	593	Level_3_load_misses______Level_3		
5000 	 PAPI_L3_DCA 		100	581	Level_3_data_cache_accesses_____Level_3		
5000 	 PAPI_L3_DCR 		114	590	Level_3_data_cache_reads_____Level_3		
5000 	 PAPI_L3_DCW 		1	661	Level_3_data_cache_writes_____Level_3		
Size 	 Eventname 	  sorted 	 ExeTime 	 Desc 	 P1Power 	 dramPower
25000 	 PAPI_L1_DCM 		5480	3523	Level_1_data_cache_misses_____Level_1	0.395202J	0.050689J
25000 	 PAPI_L1_ICM 		415	3643	Level_1_instruction_cache_misses_____Level_1		
25000 	 PAPI_L1_TCM 		6268	3541	Level_1_cache_misses______Level_1		
25000 	 PAPI_L1_LDM 		2439	3440	Level_1_load_misses______Level_1		
25000 	 PAPI_L1_STM 		4156	3441	Level_1_store_misses______Level_1		
25000 	 PAPI_L2_DCM 		783	3444	Level_2_data_cache_misses_____Level_2		
25000 	 PAPI_L2_ICM 		262	3433	Level_2_instruction_cache_misses_____Level_2		
25000 	 PAPI_L2_TCM 		865	4002	Level_2_cache_misses______Level_2		
25000 	 PAPI_L2_LDM 		337	3411	Level_2_load_misses______Level_2		
25000 	 PAPI_L2_STM 		2	3675	Level_2_store_misses______Level_2		
25000 	 PAPI_L3_TCM 		11	3570	Level_3_cache_misses______Level_3		
25000 	 PAPI_L3_LDM 		0	3499	Level_3_load_misses______Level_3		
25000 	 PAPI_L3_DCA 		675	3421	Level_3_data_cache_accesses_____Level_3		
25000 	 PAPI_L3_DCR 		680	3665	Level_3_data_cache_reads_____Level_3		
25000 	 PAPI_L3_DCW 		5	3475	Level_3_data_cache_writes_____Level_3		
Size 	 Eventname 	  sorted 	 ExeTime 	 Desc 	 P1Power 	 dramPower
125000 	 PAPI_L1_DCM 		52895	19586	Level_1_data_cache_misses_____Level_1	1.338986J	0.144601J
125000 	 PAPI_L1_ICM 		537	19685	Level_1_instruction_cache_misses_____Level_1		
125000 	 PAPI_L1_TCM 		52299	19788	Level_1_cache_misses______Level_1		
125000 	 PAPI_L1_LDM 		18451	19671	Level_1_load_misses______Level_1		
125000 	 PAPI_L1_STM 		44360	19729	Level_1_store_misses______Level_1		
125000 	 PAPI_L2_DCM 		3407	19828	Level_2_data_cache_misses_____Level_2		
125000 	 PAPI_L2_ICM 		341	19734	Level_2_instruction_cache_misses_____Level_2		
125000 	 PAPI_L2_TCM 		3991	19759	Level_2_cache_misses______Level_2		
125000 	 PAPI_L2_LDM 		1403	19641	Level_2_load_misses______Level_2		
125000 	 PAPI_L2_STM 		3	19542	Level_2_store_misses______Level_2		
125000 	 PAPI_L3_TCM 		17	23257	Level_3_cache_misses______Level_3		
125000 	 PAPI_L3_LDM 		1	19716	Level_3_load_misses______Level_3		
125000 	 PAPI_L3_DCA 		2899	19794	Level_3_data_cache_accesses_____Level_3		
125000 	 PAPI_L3_DCR 		2309	19475	Level_3_data_cache_reads_____Level_3		
125000 	 PAPI_L3_DCW 		3	19431	Level_3_data_cache_writes_____Level_3		
Size 	 Eventname 	  sorted 	 ExeTime 	 Desc 	 P1Power 	 dramPower
625000 	 PAPI_L1_DCM 		386599	109365	Level_1_data_cache_misses_____Level_1	5.090319J	0.625112J
625000 	 PAPI_L1_ICM 		1075	108679	Level_1_instruction_cache_misses_____Level_1		
625000 	 PAPI_L1_TCM 		373310	108336	Level_1_cache_misses______Level_1		
625000 	 PAPI_L1_LDM 		129986	108374	Level_1_load_misses______Level_1		
625000 	 PAPI_L1_STM 		337941	108982	Level_1_store_misses______Level_1		
625000 	 PAPI_L2_DCM 		17745	109852	Level_2_data_cache_misses_____Level_2		
625000 	 PAPI_L2_ICM 		450	109653	Level_2_instruction_cache_misses_____Level_2		
625000 	 PAPI_L2_TCM 		16195	109782	Level_2_cache_misses______Level_2		
625000 	 PAPI_L2_LDM 		7452	109591	Level_2_load_misses______Level_2		
625000 	 PAPI_L2_STM 		8	109649	Level_2_store_misses______Level_2		
625000 	 PAPI_L3_TCM 		16	109637	Level_3_cache_misses______Level_3		
625000 	 PAPI_L3_LDM 		11	109272	Level_3_load_misses______Level_3		
625000 	 PAPI_L3_DCA 		18657	115733	Level_3_data_cache_accesses_____Level_3		
625000 	 PAPI_L3_DCR 		16871	109307	Level_3_data_cache_reads_____Level_3		
625000 	 PAPI_L3_DCW 		7	109052	Level_3_data_cache_writes_____Level_3		
Size 	 Eventname 	  sorted 	 ExeTime 	 Desc 	 P1Power 	 dramPower
3125000 	 PAPI_L1_DCM 		2595902	609511	Level_1_data_cache_misses_____Level_1	35.240937J	3.165050J
3125000 	 PAPI_L1_ICM 		3376	607205	Level_1_instruction_cache_misses_____Level_1		
3125000 	 PAPI_L1_TCM 		2563362	608132	Level_1_cache_misses______Level_1		
3125000 	 PAPI_L1_LDM 		835865	611735	Level_1_load_misses______Level_1		
3125000 	 PAPI_L1_STM 		2138404	608596	Level_1_store_misses______Level_1		
3125000 	 PAPI_L2_DCM 		117972	608808	Level_2_data_cache_misses_____Level_2		
3125000 	 PAPI_L2_ICM 		1317	614047	Level_2_instruction_cache_misses_____Level_2		
3125000 	 PAPI_L2_TCM 		108054	609147	Level_2_cache_misses______Level_2		
3125000 	 PAPI_L2_LDM 		51322	604258	Level_2_load_misses______Level_2		
3125000 	 PAPI_L2_STM 		14	606857	Level_2_store_misses______Level_2		
3125000 	 PAPI_L3_TCM 		119	606743	Level_3_cache_misses______Level_3		
3125000 	 PAPI_L3_LDM 		69	604058	Level_3_load_misses______Level_3		
3125000 	 PAPI_L3_DCA 		114711	612289	Level_3_data_cache_accesses_____Level_3		
3125000 	 PAPI_L3_DCR 		138749	609766	Level_3_data_cache_reads_____Level_3		
3125000 	 PAPI_L3_DCW 		20	603831	Level_3_data_cache_writes_____Level_3		
Size 	 Eventname 	  sorted 	 ExeTime 	 Desc 	 P1Power 	 dramPower
15625000 	 PAPI_L1_DCM 		15689116	3275060	Level_1_data_cache_misses_____Level_1	190.550233J	16.916674J
15625000 	 PAPI_L1_ICM 		17074	3317739	Level_1_instruction_cache_misses_____Level_1		
15625000 	 PAPI_L1_TCM 		14928198	3272069	Level_1_cache_misses______Level_1		
15625000 	 PAPI_L1_LDM 		5226033	3276814	Level_1_load_misses______Level_1		
15625000 	 PAPI_L1_STM 		13470472	3303566	Level_1_store_misses______Level_1		
15625000 	 PAPI_L2_DCM 		775209	3315096	Level_2_data_cache_misses_____Level_2		
15625000 	 PAPI_L2_ICM 		5166	3271552	Level_2_instruction_cache_misses_____Level_2		
15625000 	 PAPI_L2_TCM 		776996	3300018	Level_2_cache_misses______Level_2		
15625000 	 PAPI_L2_LDM 		339420	3339984	Level_2_load_misses______Level_2		
15625000 	 PAPI_L2_STM 		116	3294529	Level_2_store_misses______Level_2		
15625000 	 PAPI_L3_TCM 		117540	3283523	Level_3_cache_misses______Level_3		
15625000 	 PAPI_L3_LDM 		37113	3328668	Level_3_load_misses______Level_3		
15625000 	 PAPI_L3_DCA 		728619	3318635	Level_3_data_cache_accesses_____Level_3		
15625000 	 PAPI_L3_DCR 		741090	3353119	Level_3_data_cache_reads_____Level_3		
15625000 	 PAPI_L3_DCW 		107	3260479	Level_3_data_cache_writes_____Level_3		
Size 	 Eventname 	  sorted 	 ExeTime 	 Desc 	 P1Power 	 dramPower
78125000 	 PAPI_L1_DCM 		100641243	19058991	Level_1_data_cache_misses_____Level_1	1090.232072J	98.051106J
78125000 	 PAPI_L1_ICM 		87164	18986349	Level_1_instruction_cache_misses_____Level_1		
78125000 	 PAPI_L1_TCM 		97392083	18966299	Level_1_cache_misses______Level_1		
78125000 	 PAPI_L1_LDM 		31478878	18968456	Level_1_load_misses______Level_1		
78125000 	 PAPI_L1_STM 		83828993	19043103	Level_1_store_misses______Level_1		
78125000 	 PAPI_L2_DCM 		5124872	19076621	Level_2_data_cache_misses_____Level_2		
78125000 	 PAPI_L2_ICM 		27905	19077983	Level_2_instruction_cache_misses_____Level_2		
78125000 	 PAPI_L2_TCM 		4644247	18906488	Level_2_cache_misses______Level_2		
78125000 	 PAPI_L2_LDM 		2127560	19059744	Level_2_load_misses______Level_2		
78125000 	 PAPI_L2_STM 		541	19057913	Level_2_store_misses______Level_2		
78125000 	 PAPI_L3_TCM 		1704596	19235118	Level_3_cache_misses______Level_3		
78125000 	 PAPI_L3_LDM 		542687	19535278	Level_3_load_misses______Level_3		
78125000 	 PAPI_L3_DCA 		5186172	19621154	Level_3_data_cache_accesses_____Level_3		
78125000 	 PAPI_L3_DCR 		4721158	19383716	Level_3_data_cache_reads_____Level_3		
78125000 	 PAPI_L3_DCW 		668	19085812	Level_3_data_cache_writes_____Level_3		
